id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5277070860,adzuna,Digital Commerce Operations Specialist EMEA (m/w/d),Arc'teryx,"Garching bei München, München (Kreis)",DE,,,EUR,Go,1,permanent,"Your Opportunity at ARC’TERYX: As our future Digital Commerce Operations Specialist EMEA,you will develop the brand’s digital commerce post purchase experience from ‘good’ to ‘great’. You will constan...",2025-07-01,https://www.adzuna.de/details/5277070860?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.279353
5277066256,adzuna,SAP ABAP Developer - Facility Management (m/w/d),Schwarz IT,"Weinsberg, Heilbronn (Kreis)",DE,,,EUR,,0,,"Die Schwarz IT betreut die gesamte digitale Infrastruktur und alle Softwarelösungen der Unternehmen der Schwarz Gruppe. Sie ist somit für Auswahl, Bereitstellung und Betrieb sowie Weiterentwicklung vo...",2025-07-01,https://www.adzuna.de/details/5277066256?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.279353
5277066235,adzuna,STACKIT Cloud MSSQL Engineer (m/f/d),STACKIT,"Heilbronn, Heilbronn (Kreis)",DE,,,EUR,AI,1,,You're interested in shaping the digital future of Europe's leading retail group and building our cutting-edge cloud and colocation business from scratch? Then you will fit right in as a Cloud Databas...,2025-07-01,https://www.adzuna.de/details/5277066235?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.279353
5277065617,adzuna,Head of Short-term Trading CE (f/m/d),Uniper,"Düsseldorf, Nordrhein-Westfalen",DE,,,EUR,,0,,"Our Short-term Trading desk is looking for You! We are Uniper At Uniper, we are pro-actively transforming the world of energy whilst at the same time ensuring security of energy supply. As an internat...",2025-07-01,https://www.adzuna.de/details/5277065617?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.279353
5277065619,adzuna,Head of Power Origination - Germany and Central Europe,Uniper,"Düsseldorf, Nordrhein-Westfalen",DE,,,EUR,,0,,"Our Global Origination Team is looking for you! We are Uniper At Uniper, we are pro-actively transforming the world of energy whilst at the same time ensuring security of energy supply. As an internat...",2025-07-01,https://www.adzuna.de/details/5277065619?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.279353
5277065566,adzuna,PhD - Automotive Network Security,Robert Bosch GmbH,"Bergheim, Stuttgart",DE,,,EUR,,0,,"PhD - Automotive Network Security Mittlerer Pfad 9, 70499 Stuttgart, Germany Full-time Robert Bosch GmbH Company Description At Bosch, we shape the future by inventing high-quality technologies and se...",2025-07-01,https://www.adzuna.de/details/5277065566?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.279353
5276930639,adzuna,Mainframe Developer (m/w/d),GFT Technologies,"Frankfurt am Main, Hessen",DE,,,EUR,AI,1,,"GFT Technologies ist ein verantwortungsvolles, KI-zentriertes globales Unternehmen im Bereich der digitalen Transformation. Wir konzipieren fortschrittliche Lösungen für die Daten- und KI-Transformati...",2025-07-01,https://www.adzuna.de/land/ad/5276930639?se=-jcU_11W8BGE_P6fD7QHxQ&utm_medium=api&utm_source=44534cc0&v=61F7F29897783BFFD9FFC30D0F61C42C11748E4C,2025-07-01T11:30:19.279353
5276919536,adzuna,Intern - Automotive Regulatory Expert for Global Market Access (w/m/d),TÜV Rheinland Group,"Köln, Nordrhein-Westfalen",DE,,,EUR,,0,,"We share our enthusiasm for pioneering solutions with more than 20,000 people in 69 countries. With TÜV Rheinland you can contribute your knowledge independently and continue to develop yourself on a ...",2025-07-01,https://www.adzuna.de/land/ad/5276919536?se=-jcU_11W8BGE_P6fD7QHxQ&utm_medium=api&utm_source=44534cc0&v=66B94A53040D26FBF2914FBF14DD08F7DECAB114,2025-07-01T11:30:19.279353
5276916621,adzuna,Senior Internal Auditor Operational Audits (all genders) full-time/part-time,"Merck KGaA Darmstadt, Germany","Darmstadt, Hessen",DE,,,EUR,Go,1,,"Aufgaben Profil Wir bieten . Work Your Magic with us! Ready to explore, break barriers, and discover more? We know you've got big plans - so do we! Our colleagues across the globe love innovating with...",2025-07-01,https://www.adzuna.de/land/ad/5276916621?se=-jcU_11W8BGE_P6fD7QHxQ&utm_medium=api&utm_source=44534cc0&v=175E0C5ABCFA10171D15D927D3849D9302AAA6F1,2025-07-01T11:30:19.280830
5276916469,adzuna,Senior Development Engineer Java EE – Microservices (f/m/x),ING Deutschland,"Frankfurt am Main, Hessen",DE,,,EUR,"Java, AI",2,,The ING is Germany's third largest retail bank. Working at ING is not just a job. Working for us is a chance to make a difference. How? Because as a global bank we touch the lives of millions of peopl...,2025-07-01,https://www.adzuna.de/land/ad/5276916469?se=-jcU_11W8BGE_P6fD7QHxQ&utm_medium=api&utm_source=44534cc0&v=AD2675B6A393F11F6C1BBD6F0AC9B1EA241BFCD9,2025-07-01T11:30:19.280830
5276916094,adzuna,Head of Marketing NES (m/w/x),ZEISS,"Oberkochen, Ostalbkreis",DE,,,EUR,,0,,"Step out of your comfort zone, excel and redefine the limits of what is possible. That's just what our employees are doing every single day – in order to set the pace through our innovations and enabl...",2025-07-01,https://www.adzuna.de/land/ad/5276916094?se=-jcU_11W8BGE_P6fD7QHxQ&utm_medium=api&utm_source=44534cc0&v=D24BC44B2478B6F5A415FF6AF694FD7E37AB86FE,2025-07-01T11:30:19.280830
5276903713,adzuna,Backend Engineer (m/f/d),HomeToGo,"Prenzlauer Berg, Berlin",DE,,,EUR,Go,1,,"Explore a new world of possibilities At HomeToGo, we’re on a mission to make incredible accommodation easily accessible for everyone. Our team is united by a passion for travel, driven by innovation a...",2025-07-01,https://www.adzuna.de/details/5276903713?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903671,adzuna,Slicer Developer,zellerfeld,"Bahrenfeld, Hamburg",DE,,,EUR,Go,1,,"Your mission Develop new algorithms and features for our custom slicing software to improve print quality, efficiency, and automation. Your profile Key Responsibilities: Design, implement, and optimiz...",2025-07-01,https://www.adzuna.de/details/5276903671?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903571,adzuna,Senior Web Developer (m/w/d) für Consulting Projekte,MUUUH! GmbH,"Hellern, Osnabrück",DE,,,EUR,,0,,"Das tun wir MUUUH! Consulting ist eine Strategie- und Organisationsberatung für das Thema ""Kunde"" - wir beraten branchenunabhängig seit mehr als 20 Jahren an der Schnittstelle vom Unternehmen zum Mark...",2025-07-01,https://www.adzuna.de/details/5276903571?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903430,adzuna,Fullstack Software Developer Python / Vue.js (m/w/d),Univention GmbH,"Lehe, Bremen",DE,,,EUR,"Python, Vue.js",2,,"Was dich erwartet Digitale Bildung gestalten: Du entwickelst zentrale Dienste und Schnittstellen für unser Produkt UCS@school – mit Fokus auf Skalierbarkeit, Stabilität und nachhaltige Architekturen. ...",2025-07-01,https://www.adzuna.de/details/5276903430?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903197,adzuna,Communication Engineer – Tactical Robotics (m/f/d),ARX Robotics GmbH,"Oberding, Erding (Kreis)",DE,,,EUR,,0,,"The Role We’re looking for an experienced Communication Engineer - Tactical Robotics (m/f/d) to join our Engineering strategies. In your day to day work, you’ll focus on streamlining the communication...",2025-07-01,https://www.adzuna.de/details/5276903197?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903191,adzuna,Sales Administrator (all gender),E-Lyte Innovations GmbH,"Centrum, Münster",DE,,,EUR,Go,1,,"Your mission As a Sales Administrator, you have a direct influence on the satisfaction of our customers. You will help to ensure that the sales processes run smoothly. In doing so, you will be part of...",2025-07-01,https://www.adzuna.de/details/5276903191?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903086,adzuna,Senior Financial Manager – Accounting & Treasury,Finoa,"Prenzlauer Berg, Berlin",DE,,,EUR,,0,,"Your mission Finoa is hiring a highly skilled Senior Financial Manager to lead accounting, oversee treasury operations, and ensure compliance with BaFin financial regulations. The ideal candidate will...",2025-07-01,https://www.adzuna.de/details/5276903086?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
5276903072,adzuna,Project Study: Expanding the Horizons of AI-powered Spectroscopy,Omegga,"Au-Haidhausen, München",DE,,,EUR,AI,1,,"Job description Project Overview. The student team will embark on a 3-month, full-time project study in collaboration with Omegga, an innovative deep-tech and agtech company revolutionizing the poultr...",2025-07-01,https://www.adzuna.de/details/5276903072?utm_medium=api&utm_source=44534cc0,2025-07-01T11:30:19.280830
