id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5277080860,adzuna,Catering Assistant,Miquill,"Halesowen, West Midlands",GB,25854.0,25854.0,GBP,,0,permanent,"Summary As Catering Assistant, your role is to provide fantastic customer service, alongside assisting in the preparation of delicious and nutritious meals of the highest quality, using our fresh ingr...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277080860?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.134118
5277080862,adzuna,Class 1 Driver,Gregory,"Burnfoot, Lesmahagow",GB,38301.0,45027.0,GBP,"Go, AI",2,permanent,"Class 1 Driver Location : Lesmahagow Shift : 4on 4off, Nights Do you have a UK Class 1 CE Licence? If ""YES,"" we want to hear from you! About the Role As a Class 1 Driver, you will: Use a curtain side ...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277080862?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.134118
5277080856,adzuna,Deputy Manager Children's Home,Polaris Community,"Newby West, Carlisle",GB,31105.0,34362.0,GBP,,0,permanent,"Role: Residential Deputy Manager- Children's Home Contract: Full Time, permanent Salary : Base salary of £31,105.28 with the potential to earn up to £34,362.56 with sleep in shifts. Location: Carlisle...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277080856?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.134118
5277080857,adzuna,Chef Manager,Aspens Services,"Farnborough, Hampshire",GB,36400.0,38480.0,GBP,,0,permanent,Summary About Us: Aspens Services Ltd is a market-leading contract catering company specialising in school food. By combining our understanding of the education sector and our knowledge of what's on t...,2025-07-01,https://www.adzuna.co.uk/jobs/details/5277080857?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.134118
5277079652,adzuna,Administrator,LTE Group,"Wrexham, Wales",GB,24242.0,27645.0,GBP,AI,1,permanent,"Are you a detail-oriented, organised, and proactive individual looking to make an impact in a dynamic and fast-paced environment? We're on the hunt for an exceptional Administration Assistant to join ...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277079652?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.134118
5277079644,adzuna,Machine Assistant,The Thrive Groupo,"Westbury, Wiltshire",GB,0.0,25800.0,GBP,,0,permanent,Thrive Group are delighted to be working with our company based in Westbury who are actively looking to recruit a Machine Assistant to join the team on a permanent basis. What you will be doing: Worki...,2025-07-01,https://www.adzuna.co.uk/jobs/details/5277079644?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.134118
5277079523,adzuna,Tendering Engineer,Yolk Recruitment Ltd,"Stone, Staffordshire",GB,60981.73,60981.73,GBP,AI,1,permanent,"Tendering Engineer | Industrial Consultancy | Competative Salary (Enquire for Details)  10% bonus  Car allowance | Stone, Staffordshire | Hybrid (3 days per week onsite) MERITUS are working with a lea...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277079523?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.135268
5277079457,adzuna,Senior Children's Residential Support Worker,Vetro Recruitment,"Gwyddelwern, Corwen",GB,32448.0,38118.0,GBP,,0,permanent,Are you a Children's Residential Support Worker looking for a step up to senior? Or are you already a senior looking for a new opportunity to join an organisation that focuses on quality care and the ...,2025-07-01,https://www.adzuna.co.uk/jobs/details/5277079457?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.135268
5277079459,adzuna,Commercial Gas Engineer,Start Recruitment Group,"Gloucestershire, South West England",GB,44000.0,46000.0,GBP,,0,permanent,"Job Title: Commercial Gas Engineer - Join a Leading Manufacturer! Location: M5 Corridor Salary: £46,000 Door-to-Door  Overtime, Lunch Allowance, and Bonus Employment Type: Full-time, Permanent Are You...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277079459?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.135268
5277078721,adzuna,Specification Sales Manager,Talent Tech Recruitment,"Durham, County Durham",GB,50000.0,57000.0,GBP,,0,permanent,"Area Sales Manager / Specification Manager Connected Homes Technology (I.O.T) into the Social Housing/Regional Housebuilders Market North East & Yorkshire Sheffield, Leeds, Hull, Durham, Newcastle £50...",2025-07-01,https://www.adzuna.co.uk/jobs/details/5277078721?utm_medium=api&utm_source=44534cc0,2025-07-01T11:32:26.135268
