id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5277053783,adzuna,Fullstack Developer,IT-idiots®,Nederland,NL,84000.0,84000.0,EUR,AI,1,contract,Fullstack Developer | Bouw aan veilige communicatie in een high-impact omgeving Ben jij een ervaren fullstack ontwikkelaar die energie krijgt van het bouwen van schaalbare webapplicaties en het automa...,2025-07-01,https://www.adzuna.nl/details/5277053783?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5277053088,adzuna,Frontend Developer - Rotterdam,Noir,"Rotterdam, Zuid-Holland",NL,60000.0,84000.0,EUR,"JavaScript, Java, React, Angular, AI",5,permanent,"Frontend Developer - Social Messaging Platform - Rotterdam, Netherlands (Tech stack: Frontend Developer, HTML, CSS, TypeScript, JavaScript, Angular, React, VueJS, jQuery, Web, UI, UX, User Interface, ...",2025-07-01,https://www.adzuna.nl/details/5277053088?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5277053076,adzuna,.NET Software Engineer - Growing Social Media Firm - Eindhoven,Noir,Nederland,NL,72000.0,96000.0,EUR,"C#, Go, Azure",3,permanent,".NET Software Engineer - Fastest Growing Social Media Firm - Eindhoven, Netherlands (Tech stack: .NET Software Engineer, .NET 8, C#, Web API 2, Entity Framework, Microservices, Azure, Programmer, Full...",2025-07-01,https://www.adzuna.nl/details/5277053076?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996983,adzuna,Full Stack Test Automation Developer,alliander,"Haarlem, Noord-Holland",NL,,,EUR,,0,,"Met de verduurzaming in Nederland neemt het aantal windparken, elektrisch vervoer en zonneparken toe. De wereld om ons heen verandert razendsnel en IT speelt hierin een belangrijke rol. Als Full Stack...",2025-07-01,https://www.adzuna.nl/details/5276996983?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996809,adzuna,Automation Engineer,Enexis,"'s-Hertogenbosch, Noord-Brabant",NL,,,EUR,AI,1,,Organisatie Met jouw energie kan het Bij Enexis staan innovatie en samenwerking centraal in onze aanpak om de energietransitie te versnellen. Met ons Automation Team ben je onderdeel van Smart IT&AI S...,2025-07-01,https://www.adzuna.nl/details/5276996809?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996806,adzuna,Data Engineer met Modeleer ervaring,Enexis,"'s-Hertogenbosch, Noord-Brabant",NL,,,EUR,,0,,Organisatie Met jouw energie kan het De Business Intelligence (BI) Reporting waardeketen is verantwoordelijk voor het bouwen en onderhouden van rapportages en dashboards voor vrijwel alle afdelingen b...,2025-07-01,https://www.adzuna.nl/details/5276996806?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996674,adzuna,Java-ontwikkelaar,Tangelo Software,"Zeist, Provincie Utrecht",NL,,,EUR,Java,1,,Wat jij gaat doen Ben jij een ervaren Java Developer die op zoek is naar een zelfstandige rol met veel flexibiliteit? Bij Tangelo in Zeist werk je aan innovatieve software voor klanten zoals Ministeri...,2025-07-01,https://www.adzuna.nl/details/5276996674?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996631,adzuna,.NET Developer,Good Company,"Deventer, Overijssel",NL,,,EUR,AI,1,,"Over de functie Als Fullstack Developer ben je verantwoordelijk voor het bouwen van applicaties en functionaliteiten (op maat), het ontwikkelen van interfaces en het automatiseren van workflows. Ook v...",2025-07-01,https://www.adzuna.nl/details/5276996631?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996630,adzuna,Mendix Developer,Good Company,"Amsterdam, Noord-Holland",NL,,,EUR,,0,,"Over de functie Als Mendix Developer krijg je de kans om mee te denken met deze business en oplossingen aan te dragen. De software die dit bedrijf gebruikt, ontwikkelen ze intern en is gebaseerd op Me...",2025-07-01,https://www.adzuna.nl/details/5276996630?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
5276996551,adzuna,Lead Backend developer planningsapplicatie,NS,"Utrecht, Provincie Utrecht",NL,,,EUR,Java,1,,"Werk als lead backend developer bij NS's DSO: ontwikkel bedrijfskritische applicaties als Donna met Java en moderne technologieën. Maak impact in een inspirerende, warme omgeving! Daarom wil je als le...",2025-07-01,https://www.adzuna.nl/details/5276996551?utm_medium=api&utm_source=44534cc0,2025-07-01T11:31:09.327704
