language,trending_repos_count,total_stars,total_forks,avg_stars_per_repo,european_repos,european_countries,analysis_date
JavaScript,30,27681,6292,922.7,3,"DE:2, GB:1",2025-07-01
Python,30,75035,10516,2501.17,0,,2025-07-01
Java,30,3724,457,124.13,1,GB:1,2025-07-01
TypeScript,30,71960,8040,2398.67,2,"FR:1, DE:1",2025-07-01
C#,30,3036,209,101.2,1,NL:1,2025-07-01
PHP,30,3995,310,133.17,4,"DE:2, NL:1, FR:1",2025-07-01
C++,30,10597,991,353.23,0,,2025-07-01
Ruby,30,1587,99,52.9,2,GB:2,2025-07-01
Go,30,26477,1289,882.57,3,"DE:1, NL:1, GB:1",2025-07-01
Rust,30,14032,974,467.73,1,FR:1,2025-07-01
Kotlin,30,4489,317,149.63,1,NL:1,2025-07-01
Swift,30,32058,1069,1068.6,6,"GB:2, FR:2, DE:1, IT:1",2025-07-01
Scala,9,200,11,22.22,0,,2025-07-01
R,30,619,159,20.63,0,,2025-07-01
Dart,30,1643,199,54.77,1,DE:1,2025-07-01
