id,source,name,full_name,description,language,stars_count,forks_count,watchers_count,issues_count,created_at,updated_at,owner_login,owner_type,owner_location,owner_country,topics,license,url,clone_url,collected_at
1000524955,github,OpenList,OpenListTeam/OpenList,A new AList Fork to Anti Trust Crisis,Go,10308,638,10308,63,2025-06-11,2025-07-01,OpenListTeam,Organization,,,"alist, aliyunpan, baidupan, openlist",AGPL-3.0,https://github.com/OpenListTeam/OpenList,https://github.com/OpenListTeam/OpenList.git,2025-07-01T11:54:07.708685
1003143578,github,agents-towards-production,NirDiamant/agents-towards-production," This repository delivers end-to-end, code-first tutorials covering every layer of production-grade GenAI agents, guiding you from spark to scale with proven patterns and reusable blueprints for real-world launches.",Jupyter Notebook,7420,885,7420,0,2025-06-16,2025-07-01,NirDiamant,User,,,"agent, agent-framework, agents, ai-agents, genai, generative-ai, llm, llms, mlops, multi-agent, production, tool-integration, tutorials",NOASSERTION,https://github.com/NirDiamant/agents-towards-production,https://github.com/NirDiamant/agents-towards-production.git,2025-07-01T11:54:08.182127
1006414368,github,OpenCut,OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,6296,450,6296,28,2025-06-22,2025-07-01,OpenCut-app,Organization,,,"editor, oss, videoeditor",MIT,https://github.com/OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut.git,2025-07-01T11:54:08.742721
1001787804,github,openai-cs-agents-demo,openai/openai-cs-agents-demo,Demo of a customer service use case implemented with the OpenAI Agents SDK,TypeScript,5317,773,5317,29,2025-06-14,2025-07-01,openai,Organization,,,,MIT,https://github.com/openai/openai-cs-agents-demo,https://github.com/openai/openai-cs-agents-demo.git,2025-07-01T11:54:09.255901
999030842,github,nano-vllm,GeeeekExplorer/nano-vllm,Nano vLLM,Python,4696,538,4696,11,2025-06-09,2025-07-01,GeeeekExplorer,User,,,,MIT,https://github.com/GeeeekExplorer/nano-vllm,https://github.com/GeeeekExplorer/nano-vllm.git,2025-07-01T11:54:09.862847
1004995740,github,claudia,getAsterisk/claudia,"A powerful GUI app and Toolkit for Claude Code - Create custom agents, manage interactive Claude Code sessions, run secure background agents, and more.",TypeScript,4635,349,4635,62,2025-06-19,2025-07-01,getAsterisk,Organization,United States of America,,"anthropic, anthropic-claude, claude, claude-4, claude-4-opus, claude-4-sonnet, claude-ai, claude-code, claude-code-sdk, cursor, ide, llm, llm-code, rust, tauri",AGPL-3.0,https://github.com/getAsterisk/claudia,https://github.com/getAsterisk/claudia.git,2025-07-01T11:54:10.350836
1006496207,github,SuperClaude,NomenAK/SuperClaude,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",Shell,4334,309,4334,17,2025-06-22,2025-07-01,NomenAK,User,,,,MIT,https://github.com/NomenAK/SuperClaude,https://github.com/NomenAK/SuperClaude.git,2025-07-01T11:54:10.824407
1000235209,github,workout-cool,Snouzy/workout-cool,"🏋 Modern open-source fitness coaching platform. Create workout plans, track progress, and access a comprehensive exercise database.",TypeScript,3811,215,3811,31,2025-06-11,2025-07-01,Snouzy,User,"All around the world, France based",FR,"coach, exercise, feature-sliced-design, fitness, gym, health, nextjs, open-source, postgresql, prisma, radix-ui, react, shadcn-ui, tailwindcss, training, typescript, webapp, workout",MIT,https://github.com/Snouzy/workout-cool,https://github.com/Snouzy/workout-cool.git,2025-07-01T11:54:11.269368
1000000000,github,shit,Red-Killer/shit,,,3681,257,3681,588,2025-06-11,2025-07-01,Red-Killer,User,,,,,https://github.com/Red-Killer/shit,https://github.com/Red-Killer/shit.git,2025-07-01T11:54:11.776525
998428732,github,zen-mcp-server,BeehiveInnovations/zen-mcp-server,The power of Claude Code + [Gemini / OpenAI / Grok / OpenRouter / Ollama / Custom Model / All Of The Above] working as one.,Python,3576,335,3576,26,2025-06-08,2025-07-01,BeehiveInnovations,Organization,,,,NOASSERTION,https://github.com/BeehiveInnovations/zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server.git,2025-07-01T11:54:12.259867
995214393,github,MonkeyOCR,Yuliang-Liu/MonkeyOCR,A lightweight LMM-based Document Parsing Model,Python,3315,224,3315,24,2025-06-03,2025-07-01,Yuliang-Liu,User,,,,Apache-2.0,https://github.com/Yuliang-Liu/MonkeyOCR,https://github.com/Yuliang-Liu/MonkeyOCR.git,2025-07-01T11:54:12.763425
995113401,github,unregistry,psviderski/unregistry,Push docker images directly to remote servers without an external registry,Go,3058,39,3058,11,2025-06-03,2025-07-01,psviderski,User,Australia,,"containerd, docker, golang, kubernetes, oci, registry",Apache-2.0,https://github.com/psviderski/unregistry,https://github.com/psviderski/unregistry.git,2025-07-01T11:54:13.216638
