id,source,job_title,company,location,country_code,country_name,salary_min,salary_max,currency,skills,skills_count,dataset_origin,collected_at
glassdoor_europe_0,glassdoor_europe,Data Engineer,Siemens,"Capital, France",FR,France,82977,99572,EUR,Kafka;Airflow;Python,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_1,glassdoor_europe,Full Stack Developer,SAP,"City, Austria",AT,Austria,92280,110736,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_2,glassdoor_europe,Frontend Developer,Revolut,"City, France",FR,France,80412,96494,EUR,HTML;JavaScript;React,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_3,glassdoor_europe,Technical Lead,SAP,"City, Switzerland",CH,Switzerland,125022,150026,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_4,glassdoor_europe,Machine Learning Engineer,Klarna,"Capital, Italy",IT,Italy,106687,128024,EUR,MLflow;Docker;TensorFlow,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_5,glassdoor_europe,Data Scientist,Spotify,"City, Denmark",DK,Denmark,81975,98370,EUR,TensorFlow;SQL;R,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_6,glassdoor_europe,Full Stack Developer,Skype,"City, Italy",IT,Italy,51247,61496,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_7,glassdoor_europe,Principal Engineer,Amadeus,"City, Sweden",SE,Sweden,54008,64809,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_8,glassdoor_europe,DevOps Engineer,Adyen,"Capital, Italy",IT,Italy,50024,60028,EUR,Kubernetes;Jenkins;Linux,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_9,glassdoor_europe,Software Engineer,Adyen,"Capital, Denmark",DK,Denmark,97587,117104,EUR,Java;React;Python,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_10,glassdoor_europe,DevOps Engineer,BlaBlaCar,"Capital, Spain",ES,Spain,99211,119053,EUR,Kubernetes;AWS;Jenkins,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_11,glassdoor_europe,Staff Engineer,OVH,"City, Switzerland",CH,Switzerland,91715,110058,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_12,glassdoor_europe,Technical Lead,ASML,"Capital, France",FR,France,88276,105931,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_13,glassdoor_europe,Backend Developer,Adyen,"Capital, Switzerland",CH,Switzerland,106188,127425,EUR,Java;PostgreSQL;Redis,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_14,glassdoor_europe,Frontend Developer,SAP,"Capital, United Kingdom",GB,United Kingdom,70160,84192,EUR,JavaScript;HTML;CSS,3,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_15,glassdoor_europe,Product Manager,BlaBlaCar,"City, Norway",NO,Norway,136998,164397,EUR,Problem Solving;Programming,2,european_market_data,2025-07-02T11:14:24.134233
glassdoor_europe_16,glassdoor_europe,Data Analyst,Skype,"Capital, Switzerland",CH,Switzerland,99460,119352,EUR,Programming;Problem Solving,2,european_market_data,2025-07-02T11:14:24.134233
