keyword,country,timeframe,avg_interest,max_interest,min_interest,trend_direction,trend_strength,data_points,analysis_date,category
Python programming,DE,today 12-m,68.77,100,40,decreasing,10.31,53,2025-07-01,Programming Language
JavaScript programming,DE,today 12-m,2.13,39,0,increasing,4.54,53,2025-07-01,Programming Language
Java programming,DE,today 12-m,31.02,55,0,decreasing,13.92,53,2025-07-01,Programming Language
TypeScript programming,DE,today 12-m,0.09,3,0,increasing,0.38,53,2025-07-01,Programming Language
C# programming,DE,today 12-m,5.43,29,0,stable,0.38,53,2025-07-01,Programming Language
React framework,DE,today 12-m,28.47,100,0,decreasing,7.0,53,2025-07-01,Framework
Angular framework,DE,today 12-m,3.51,57,0,decreasing,9.69,53,2025-07-01,Framework
Vue.js framework,DE,today 12-m,1.42,75,0,stable,0.0,53,2025-07-01,Framework
Node.js programming,DE,today 12-m,0.0,0,0,stable,0.0,53,2025-07-01,Framework
Django framework,DE,today 12-m,17.51,75,0,increasing,3.0,53,2025-07-01,Framework
Docker container,DE,today 12-m,53.13,61,34,stable,5.23,53,2025-07-01,DevOps/Cloud
Kubernetes,DE,today 12-m,86.72,100,40,decreasing,9.92,53,2025-07-01,DevOps/Cloud
AWS cloud,DE,today 12-m,12.25,16,6,stable,0.54,53,2025-07-01,DevOps/Cloud
Azure cloud,DE,today 12-m,9.92,14,5,decreasing,1.15,53,2025-07-01,DevOps/Cloud
DevOps,DE,today 12-m,55.38,70,21,stable,4.46,53,2025-07-01,DevOps/Cloud
Machine Learning,DE,today 12-m,84.36,100,56,stable,0.23,53,2025-07-01,AI/Data Science
Data Science,DE,today 12-m,62.77,74,37,stable,1.23,53,2025-07-01,AI/Data Science
Artificial Intelligence,DE,today 12-m,51.11,73,35,increasing,7.23,53,2025-07-01,Technology
TensorFlow,DE,today 12-m,25.49,36,15,decreasing,7.15,53,2025-07-01,AI/Data Science
PyTorch,DE,today 12-m,58.74,78,38,decreasing,9.0,53,2025-07-01,Technology
PostgreSQL,DE,today 12-m,47.66,58,20,stable,3.85,53,2025-07-01,Database
MongoDB,DE,today 12-m,33.45,42,19,decreasing,6.77,53,2025-07-01,Database
MySQL,DE,today 12-m,81.64,100,43,decreasing,20.69,53,2025-07-01,Database
Redis database,DE,today 12-m,0.08,2,0,stable,0.0,53,2025-07-01,Database
Elasticsearch,DE,today 12-m,15.17,21,6,decreasing,4.23,53,2025-07-01,Technology
