source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,40205.0,GBP,5,Mid-level,,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252168
stackoverflow,DE,Germany,,EUR,nan,Unknown,Homebrew,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.252306
stackoverflow,NL,Netherlands,49056.0,EUR,6,Mid-level,,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I don’t know,2025-07-02T12:48:18.252422
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,60307.0,GBP,2,Junior,Docker;npm;Terraform,"Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.252501
stackoverflow,IT,Italy,34126.0,EUR,4,Mid-level,Docker;Kubernetes,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252557
stackoverflow,NL,Netherlands,,EUR,6,Mid-level,,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252612
stackoverflow,DE,Germany,90647.0,EUR,9,Mid-level,Kubernetes;npm;Terraform,"Developer, back-end;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252660
stackoverflow,DE,Germany,106644.0,EUR,25,Junior,,"Developer, back-end;Developer, desktop or enterprise applications",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T12:48:18.252706
stackoverflow,DE,Germany,51192.0,EUR,4,Mid-level,Ansible;Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,2025-07-02T12:48:18.252754
stackoverflow,NL,Netherlands,46704.0,EUR,8,Mid-level,Docker;Flow;Kubernetes;npm;Unity 3D,"Developer, front-end;Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.252801
stackoverflow,DE,Germany,63986.0,EUR,2,Junior,Docker;npm,"Student;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.252846
stackoverflow,FR,France,74651.0,EUR,14,Junior,Docker;Kubernetes;npm,"Developer, back-end;Designer","Professional degree (JD, MD, etc.)",I don’t know,2025-07-02T12:48:18.252891
