source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,DE,Germany,,EUR,nan,Unknown,Homebrew,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.804542
stackoverflow,DE,Germany,90647.0,EUR,9,Mid-level,Kubernetes;npm;Terraform,"Developer, back-end;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.804542
stackoverflow,DE,Germany,106644.0,EUR,25,Junior,,"Developer, back-end;Developer, desktop or enterprise applications",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T09:58:35.804542
stackoverflow,DE,Germany,51192.0,EUR,4,Mid-level,Ansible;Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,2025-07-02T09:58:35.804542
stackoverflow,DE,Germany,63986.0,EUR,2,Junior,Docker;npm,"Student;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.805542
stackoverflow,DE,Germany,63986.0,EUR,2,Junior,Docker;npm;Terraform;Yarn,"Developer, full-stack;Developer, QA or test;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",2025-07-02T09:58:35.805542
stackoverflow,DE,Germany,,EUR,nan,Unknown,,"Developer, back-end;Student","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.805542
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.805542
stackoverflow,DE,Germany,71451.0,EUR,6,Mid-level,Docker;npm,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.805542
stackoverflow,DE,Germany,79983.0,EUR,1,Junior,Docker;Homebrew;npm,"Developer, full-stack;Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.805542
stackoverflow,DE,Germany,92136.0,EUR,7,Mid-level,Docker;Kubernetes;npm;Terraform;Yarn,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator","Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,2025-07-02T09:58:35.806547
