source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,FR,France,74651.0,EUR,14,Junior,Docker;Kubernetes;npm,"Developer, back-end;Designer","Professional degree (JD, MD, etc.)",I don’t know,2025-07-02T12:48:18.252891
stackoverflow,FR,France,,EUR,nan,Unknown,Unity 3D,,"Associate degree (A.A., A.S., etc.)",,2025-07-02T12:48:18.252935
stackoverflow,FR,France,87448.0,EUR,10,Junior,Docker;npm;Terraform,"Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.253122
stackoverflow,FR,France,63986.0,EUR,5,Mid-level,,"Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.253345
stackoverflow,FR,France,63986.0,EUR,19,Junior,Docker;Terraform,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.253389
stackoverflow,FR,France,,EUR,5,Mid-level,npm;Terraform,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.254027
stackoverflow,FR,France,52789.0,EUR,4,Mid-level,Docker,"Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.254783
stackoverflow,FR,France,85315.0,EUR,15,Junior,Ansible;Docker,"Engineer, site reliability;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.254945
stackoverflow,FR,France,58654.0,EUR,3,Junior,Kubernetes,"Data scientist or machine learning specialist;Engineer, data;Database administrator;Data or business analyst","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.255239
stackoverflow,FR,France,,EUR,9,Mid-level,,"Developer, back-end;Developer, desktop or enterprise applications;Project manager","Other doctoral degree (Ph.D., Ed.D., etc.)",2 to 9 employees,2025-07-02T12:48:18.255318
stackoverflow,FR,France,34126.0,EUR,5,Mid-level,,Data scientist or machine learning specialist;Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.255841
stackoverflow,FR,France,,EUR,nan,Unknown,,Educator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.255902
stackoverflow,FR,France,,EUR,nan,Unknown,,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.256163
stackoverflow,FR,France,,EUR,nan,Unknown,npm;Yarn,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.256363
stackoverflow,FR,France,44796.0,EUR,20,Junior,,"Developer, full-stack;Developer, desktop or enterprise applications;Project manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T12:48:18.256487
stackoverflow,FR,France,,EUR,3,Junior,Docker,"Developer, back-end;Designer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T12:48:18.256779
