source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,40205.0,GBP,5,Mid-level,,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252168
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,60307.0,GBP,2,Junior,Docker;npm;Terraform,"Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.252501
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,,GBP,45,Mid-level,Homebrew,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.253068
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,69102.0,GBP,7,Mid-level,Docker;npm,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.253256
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,52769.0,GBP,3,Junior,,Data scientist or machine learning specialist;Scientist,"Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,2025-07-02T12:48:18.253432
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,47743.0,GBP,4,Mid-level,Docker;npm,"Developer, back-end;Student;DevOps specialist;Project manager;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,2025-07-02T12:48:18.253520
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,75384.0,GBP,7,Mid-level,,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.253604
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,78525.0,GBP,10,Junior,,"Developer, front-end;Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",2025-07-02T12:48:18.253645
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,,GBP,nan,Unknown,,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.253685
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,,GBP,nan,Unknown,Ansible;Docker;Kubernetes;npm;Terraform;Yarn,"Developer, back-end;Student;System administrator",Some college/university study without earning a degree,,2025-07-02T12:48:18.253768
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,,GBP,nan,Unknown,Unity 3D,Data scientist or machine learning specialist;Student;Data or business analyst,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.253810
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,123127.0,GBP,20,Junior,Docker;Homebrew,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2025-07-02T12:48:18.253894
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,80409.0,GBP,11,Junior,,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.253985
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,904608.0,GBP,7,Mid-level,Docker;Homebrew;Kubernetes;npm;Puppet,Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2025-07-02T12:48:18.254069
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,331692.0,GBP,1,Junior,Docker;Homebrew,"Developer, back-end;Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2025-07-02T12:48:18.254235
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,54025.0,GBP,5,Mid-level,Ansible;Docker,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Data or business analyst","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.254276
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,136947.0,GBP,18,Junior,Docker;Homebrew,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2025-07-02T12:48:18.254318
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,,GBP,nan,Unknown,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.254402
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,118729.0,GBP,7,Mid-level,Docker;Kubernetes;Terraform,"Developer, back-end;Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.254445
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,1130760.0,GBP,23,Junior,Docker;Homebrew;npm;Unity 3D,"Developer, full-stack;Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.254488
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,497532.0,GBP,3,Junior,Docker;Homebrew;npm,"Developer, QA or test;Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.254531
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,678456.0,GBP,10,Junior,Docker;Homebrew;npm,"Developer, front-end;Developer, full-stack;Developer, back-end","Associate degree (A.A., A.S., etc.)",10 to 19 employees,2025-07-02T12:48:18.254655
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,,GBP,4,Mid-level,Docker;Homebrew;npm;Pulumi;Terraform;Unreal Engine,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.254697
stackoverflow,GB,United Kingdom of Great Britain and Northern Ireland,60307.0,GBP,8,Mid-level,npm,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.254824
