source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,IT,Italy,34126.0,EUR,4,Mid-level,Docker;Kubernetes,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.252557
stackoverflow,IT,Italy,93420.0,EUR,5,Mid-level,Docker;Homebrew;Yarn,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.253562
stackoverflow,IT,Italy,21120.0,EUR,12,Junior,,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;System administrator","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,2025-07-02T12:48:18.253727
stackoverflow,IT,Italy,614268.0,EUR,15,Junior,Docker,"Developer, back-end",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T12:48:18.253853
stackoverflow,IT,Italy,,EUR,nan,Unknown,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.254362
stackoverflow,IT,Italy,35192.0,EUR,3,Junior,Unity 3D,"Developer, mobile;Database administrator;Project manager;Product manager","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2025-07-02T12:48:18.255686
stackoverflow,IT,Italy,14460.0,EUR,1,Junior,Docker,"Developer, front-end;Developer, back-end;Database administrator;Cloud infrastructure engineer;System administrator;Security professional","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,2025-07-02T12:48:18.256842
stackoverflow,IT,Italy,,EUR,nan,Unknown,Homebrew;npm,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.257913
stackoverflow,IT,Italy,,EUR,nan,Unknown,npm;Yarn,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.259736
stackoverflow,IT,Italy,,EUR,11,Junior,,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2025-07-02T12:48:18.260928
stackoverflow,IT,Italy,36259.0,EUR,12,Junior,Docker,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2025-07-02T12:48:18.261961
stackoverflow,IT,Italy,,EUR,nan,Unknown,Docker;npm;Unity 3D;Unreal Engine,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.262762
stackoverflow,IT,Italy,,EUR,nan,Unknown,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.262844
stackoverflow,IT,Italy,,EUR,nan,Unknown,Docker;Terraform,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.263097
stackoverflow,IT,Italy,117308.0,EUR,2,Junior,,"Developer, back-end;Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2025-07-02T12:48:18.264860
stackoverflow,IT,Italy,,EUR,23,Junior,Docker;Homebrew;Kubernetes;npm;Yarn,"Developer, full-stack;Developer, back-end",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T12:48:18.265199
stackoverflow,IT,Italy,20472.0,EUR,Less than 1 year,Junior,Ansible,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",Some college/university study without earning a degree,I don’t know,2025-07-02T12:48:18.265679
stackoverflow,IT,Italy,47990.0,EUR,8,Mid-level,Docker,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.265803
stackoverflow,IT,Italy,383916.0,EUR,5,Mid-level,Homebrew,System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2025-07-02T12:48:18.266248
stackoverflow,IT,Italy,31992.0,EUR,4,Mid-level,Ansible;Docker;Kubernetes,"Developer, front-end;Developer, full-stack;Developer, back-end",Some college/university study without earning a degree,2 to 9 employees,2025-07-02T12:48:18.267931
stackoverflow,IT,Italy,,EUR,nan,Unknown,Docker,"Data scientist or machine learning specialist;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",Some college/university study without earning a degree,,2025-07-02T12:48:18.269995
stackoverflow,IT,Italy,,EUR,2,Junior,Docker;Homebrew;npm,"Developer, full-stack;Blockchain",Some college/university study without earning a degree,10 to 19 employees,2025-07-02T12:48:18.270739
stackoverflow,IT,Italy,63986.0,EUR,11,Junior,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;DevOps specialist;Designer;Product manager",Some college/university study without earning a degree,100 to 499 employees,2025-07-02T12:48:18.272146
stackoverflow,IT,Italy,,EUR,nan,Unknown,Docker;Kubernetes;npm,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.272267
