id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5275731191,adzuna,Stellenangebot (Inhouse) SAP Consultant - CPI & Integration (m/w/d) bei CANCOM,CANCOM SE,"Maxvorstadt, München",DE,,,EUR,Agile,1,,"ÜBER CANCOM Bei CANCOM erwartet dich ein innovatives, agiles und nachhaltiges Umfeld: Mehr als 5.600 Mitarbeiter arbeiten tagtäglich daran, mit Hilfe moderner IT-Lösungen die Zusammenarbeit und den Au...",2025-06-30,https://www.adzuna.de/details/5275731191?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.181280
5275731168,adzuna,Senior Manager/Director Global Marketing Enteral Nutrition,Fresenius,Deutschland,DE,,,EUR,AI,1,,"Your responsibilities: Lead the co-creation of the global annual marketing plan for your therapeutic area with cross-functional medical, market access und regional teams. Understand the patient and he...",2025-06-30,https://www.adzuna.de/details/5275731168?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.181280
5275731141,adzuna,Customer Software Developer (m/w/d),HR4YOU AG,"Großefehn, Aurich (Kreis)",DE,,,EUR,,0,,Customer Software Developer (m/w/d) __Vollzeit | __Großefehn Als Softwareunternehmen betreut HR4YOU über 600 Top-Unternehmen in der D-A-CH Region in spezialisierten Bereichen der Personalarbeit. Das P...,2025-06-30,https://www.adzuna.de/details/5275731141?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.181280
5275731100,adzuna,Werkstudent:in Employee Experience (m/w/d),Marsh McLennan,Deutschland,DE,,,EUR,,0,,Company: Mercer Description: We are looking for a Working Student: Employee Experience (m/w/d) to join our team: Location : Munich About Us: We are a leading consulting firm with a strong internationa...,2025-06-30,https://www.adzuna.de/details/5275731100?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275731027,adzuna,Infrastructure Private Equity Analyst Internship - January 2026 or April 2026 / Frankfurt,Ardian,Deutschland,DE,,,EUR,,0,,Job Description Department : Infrastructure Location : Frankfurt Contract : Internship Duration : 5-6 months Start date : January 2026 or April 2026 The role Opportunity to join Ardian Infrastructure ...,2025-06-30,https://www.adzuna.de/details/5275731027?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730981,adzuna,"Digital Marketing Junior Agent (German Language) – Hybrid in Lisbon, Portugal w/ Relocation",AetherCore,"München, München (Kreis)",DE,,,EUR,Go,1,,"We are looking for a dedicated Digital Marketing Junior Agent with German proficiency to join our team in Lisbon, Portugal. As part of our global team, you will have the opportunity to optimize digita...",2025-06-30,https://www.adzuna.de/details/5275730981?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730840,adzuna,Customer Success Manager - EMEA,Lokalise,"Berlin, Deutschland",DE,,,EUR,AI,1,,"Who are we At Lokalise, we make it easy and profitable for businesses to expand into new markets. Founded in 2017, our AI-powered translation and localization platform automates workflows, integrates ...",2025-06-30,https://www.adzuna.de/details/5275730840?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730788,adzuna,Private Equity Event Volunteer,CFO Insights,"München, München (Kreis)",DE,,,EUR,,0,,"Private Equity Conference Volunteer (Munich 26th Septemeber) Do you want to expand your network with 500 leaders, entrepreneurs, investors, limited and general partners of the Private Equity sector, p...",2025-06-30,https://www.adzuna.de/details/5275730788?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730777,adzuna,German-Speaking Sales Executive | Hybrid in Barcelona with Relocation,AetherCore,"Hamburg, Deutschland",DE,,,EUR,,0,,"We are looking for ambitious individuals to join our growing sales team in Barcelona, working on an international digital marketing project for one of the world’s leading platforms. If you are fluent ...",2025-06-30,https://www.adzuna.de/details/5275730777?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730761,adzuna,SEO Analyst (f/m/d),KAYAK,"Berlin, Deutschland",DE,,,EUR,,0,,"KAYAK, part of Booking Holdings (NASDAQ: BKNG), is the world’s leading travel search engine. With billions of queries across our platforms, we help people find their perfect flight, stay, rental car a...",2025-06-30,https://www.adzuna.de/details/5275730761?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730729,adzuna,Associate Banking & Restructuring in Munich,Pinsent Masons,"Altstadt-Lehel, München",DE,,,EUR,Go,1,,"Description Our roots go back to 1769, and we are also one of the most progressive and innovative commercial law firms in the world. We are an international team of almost 4,000 employees at 27 locati...",2025-06-30,https://www.adzuna.de/details/5275730729?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730610,adzuna,Senior Mulesoft Solutions Architect (m/f/d),Fresenius,Deutschland,DE,,,EUR,Azure,1,,We are seeking a highly skilled Mulesoft Solutions Architect to lead enterprise-wide integration projects. This role offers an exciting opportunity to shape the integration landscape of a global organ...,2025-06-30,https://www.adzuna.de/details/5275730610?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730593,adzuna,Shell Graduate Programme 2025 - Germany,Shell,Deutschland,DE,,,EUR,,0,,", Germany Worker Type: Regular Posting Start Date: November 11, 2024 Recruiting Instruction: Talent Brew field Job Description: Join us as a Shell graduate and you can be a part of the future of energ...",2025-06-30,https://www.adzuna.de/details/5275730593?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730590,adzuna,Java Full Stack Developer (m/w/d) | STBSBS,Atruvia,"Münster, Nordrhein-Westfalen",DE,,,EUR,"Java, Agile",2,,"Description Für unser Geschäftsfeld Steuerungsbank im Tribe Steuerungsbank Services suchen wir dich in Voll- oder Teilzeit ab 30 Wochenstunden als Java Full Stack Developer (m/w/d) in Aschheim, Berlin...",2025-06-30,https://www.adzuna.de/details/5275730590?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730465,adzuna,Finance Industry Event Volunteer,Private Equity Insights,"München, München (Kreis)",DE,,,EUR,,0,,"Private Equity Conference Volunteer (Munich 26th Septemeber) Do you want to expand your network with 500 leaders, entrepreneurs, investors, limited and general partners of the Private Equity sector, p...",2025-06-30,https://www.adzuna.de/details/5275730465?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730397,adzuna,Project Manager (m/f/d) in our Space Division,CGI,Deutschland,DE,,,EUR,AI,1,,"Position Description: CGI is a European leader in Space Ground Segment systems and services in the domains of Earth Observation, Navigation, Satellite Communications, Space Safety and Mission Operatio...",2025-06-30,https://www.adzuna.de/details/5275730397?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730388,adzuna,"Kundendiensttechniker / Anlagenmechaniker / Monteur(m/w/d), in Voll- oder Teilzeit",Techem Energy Services,"Eschborn, Main-Taunus-Kreis",DE,,,EUR,,0,,"Job Description: Du bist ein Quereinsteiger (m/w/d) im Handwerk und willst etwas bewegen und Deine Ideen einbringen, dann bist DU bei uns herzlich willkommen! Deine Aufgaben – Du machst mit uns den Un...",2025-06-30,https://www.adzuna.de/details/5275730388?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730366,adzuna,Finance Industry Conference Volunteer,United Media,"München, München (Kreis)",DE,,,EUR,,0,,"Private Equity Conference Volunteer (Munich 26th Septemeber) Do you want to expand your network with 500 leaders, entrepreneurs, investors, limited and general partners of the Private Equity sector, p...",2025-06-30,https://www.adzuna.de/details/5275730366?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730336,adzuna,GEN AI Architect (f/m/d),Freudenberg,Deutschland,DE,,,EUR,"AWS, Azure, GCP, AI",4,,"Working at Freudenberg: We will wow your world! Responsibilities: Design and implementation of scalable, robust AI systems, including data pipelines, ML models and generative AI applications, using cl...",2025-06-30,https://www.adzuna.de/details/5275730336?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730332,adzuna,Senior Customer Partner Region Mid West Germany,Kyndryl Deutschland,Deutschland,DE,,,EUR,Go,1,,"Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always...",2025-06-30,https://www.adzuna.de/details/5275730332?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730254,adzuna,AR/VR/MR Senior Software Engineer,Autodesk,Deutschland,DE,,,EUR,,0,,Job Requisition ID  25WD89701 Position Overview This position is an exciting opportunity for an engaged software engineer to join a dynamic team of developers at Autodesk in Germany developing the hig...,2025-06-30,https://www.adzuna.de/details/5275730254?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730199,adzuna,"Senior Software Engineer - kcp (w,m,d)",Kubermatic GmbH,"Hamburg, Deutschland",DE,,,EUR,Kubernetes,1,,"About us At Kubermatic, we believe that businesses should focus on their core purpose: writing groundbreaking applications, not operations. In line with our commitment to make Kubernetes as easy as po...",2025-06-30,https://www.adzuna.de/details/5275730199?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730164,adzuna,Investigator Contracts Lead - Manager (m/f/d),Pfizer,Deutschland,DE,,,EUR,Go,1,,JOB SUMMARY Investigator Contracts Lead is responsible for direct site-facing contract and budget negotiations thought contract execution with assigned clinical investigator sites including initial ag...,2025-06-30,https://www.adzuna.de/details/5275730164?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730118,adzuna,PGIM Private Capital | Private Debt Investment Intern (f/m/d),IRL,Deutschland,DE,,,EUR,,0,,"A GLOBAL LEADING ASSET MANAGER WITH A DIVERSE & INCLUSIVE CULTURE As the Global Asset Management business of Prudential, we’re always looking for ways to improve financial services. We’re passionate a...",2025-06-30,https://www.adzuna.de/details/5275730118?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730050,adzuna,SEO & AI Specialist (f/m/d),KAYAK,"Berlin, Deutschland",DE,,,EUR,AI,1,,"KAYAK, part of Booking Holdings (NASDAQ: BKNG), is the world’s leading travel search engine. With billions of queries across our platforms, we help people find their perfect flight, stay, rental car a...",2025-06-30,https://www.adzuna.de/details/5275730050?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275730024,adzuna,DevOps Engineer für Cloud-Lösungen (Azure),enercity AG,"Bult, Hannover",DE,,,EUR,"Go, Azure, DevOps",3,,"Aufgaben Als Cloud DevOps Engineer entwickelst und implementierst du automatisierte CI/CD-Pipelines, um den Softwarebereitstellungsprozess zu optimieren und die Bereitstellungszeiten zu verkürzen. Dab...",2025-06-30,https://www.adzuna.de/details/5275730024?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
5275729981,adzuna,Staff Software Engineer (d/m/w),LIQID Investments,"Wilmersdorf, Berlin",DE,,,EUR,,0,,"Your Role As a Staff Software Engineer (Backend Focus) (d/m/w) , you will design and implement scalable backend systems that support our digital products. Working collaboratively with cross-functional...",2025-06-30,https://www.adzuna.de/details/5275729981?utm_medium=api&utm_source=44534cc0,2025-06-30T15:40:26.182279
