id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5275736174,adzuna,Audit Manager (Japanese speaker),Blick Rothenberg,"London, UK",GB,40028.28,40028.28,GBP,,0,permanent,"Are you looking to develop your career within a nurturing environment where you can flourish? Do you want to join an award-winning firm that strives for excellence and success for our clients, our peo...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275736174?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275736176,adzuna,Mixed Tax Senior,Azets,"Cardiff, Cardiff County",GB,43084.86,43084.86,GBP,,0,permanent,"Mixed Tax Senior Who are Azets Azets are a leading firm of Accountants and Business Advisers operating across the UK, Ireland and the Nordics, we have over a wide network of employees and an abundance...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275736176?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735504,adzuna,Food and Beverage Assistant,Country Court,UK,GB,25396.0,,GBP,,0,,Food and Beverage Assistant - Required for The Grange Care Home in Newport near Saffron Walden Part of the Country Court Family We are no longer accepting applications for sponsorship. Hours: 40 Hours...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735504?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735503,adzuna,Administrator at Wellesley Road,Shaw Healthcare,"Gospel Oak, North West London",GB,29224.0,,GBP,Go,1,,Administrator - £14.05 per hour Shaw healthcare are delighted to announce that we a Real Living Wage Employer as well as the UK’s largest employee owned healthcare company. In our recognition of your ...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735503?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735501,adzuna,Activities Coordinator - Part time,Country Court,"Castor, Peterborough",GB,25396.0,,GBP,,0,,Activities Coordinator - Castor Lodge Care Home located in Castor near Peterborough PE5 -Part of the Country Court Family We are no longer accepting applications for sponsorship. Hours: 16 Hours per w...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735501?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735505,adzuna,Teaching Assistant - Early Years Specialist,Redhill Academy Trust,"Arnold, Nottingham",GB,21409.0,23181.0,GBP,,0,contract,"Redhill Academy Trust Pay Scale, Band 7 Scale point 32 - 36 Actual salary: £21,409 - £23,181 per annum (FTE: £25,331 - £27,427) 32.5 hours per week - Fixed Term / Term Time Only Required from 01st Sep...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735505?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735502,adzuna,Clinical Deputy Manager at Danybryn,Shaw Healthcare,"Radyr, Cardiff",GB,39600.0,,GBP,,0,,"Shaw healthcare is recruiting for a Clinical Deputy Manager at our Danybryn Care service based in Radry, Cardiff. Danybryn is a 31 bedded purpose built nursing services for people with physical disabi...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735502?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735500,adzuna,Domestic Assistant at Plas Cae Crwn,Shaw Healthcare,"Treowen, Newtown",GB,26208.0,,GBP,Go,1,,Domestic Assistant - £12.60 per hour Shaw healthcare are delighted to announce that we are a Real Living Wage Employer as well as the UK’s largest employee owned healthcare company. In our recognition...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735500?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735498,adzuna,Bank Team Leader at Elizabeth House,Shaw Healthcare,"South Bersted, Bognor Regis",GB,30492.0,31824.0,GBP,Go,1,contract,"Bank Team Leader - £14.66-£15.30 per hour Contract: Bank - zero hours Working Hours: As/when needed in the service, 12 hour shifts either 07:45-20:15 or 20:00-08:00 Shaw healthcare are delighted to an...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735498?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.256998
5275735497,adzuna,Bank Domestic Assistant at Westbrook House,Shaw Healthcare,"Garlinge, Margate",GB,26208.0,,GBP,Go,1,contract,Bank Domestic Assistant - £12.60 per hour Contract: Bank - zero hours Working Hours: As/when needed in the service - day shifts between hours of 8am-4pm Shaw healthcare are delighted to announce that ...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735497?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735499,adzuna,Technical Sales Representative,MGF,"Gubblecote, Tring",GB,30890.84,30890.84,GBP,,0,,"An excellent opportunity has arisen for a Technical Sales Representative to join the team operating from our depot in Tring, covering the areas of Hampshire, Surrey, Berkshire and surrounding areas. T...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735499?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735495,adzuna,Administrator at Figbury Lodge,Shaw Healthcare,"Oakdale, Poole",GB,29182.0,,GBP,Go,1,,Administrator - £14.03 per hour Shaw healthcare are delighted to announce that we a Real Living Wage Employer as well as the UK’s largest employee owned healthcare company. In our recognition of your ...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735495?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735496,adzuna,Bid Writer,Changing Lives,"Lamesley, Gateshead",GB,33250.0,,GBP,Go,1,,"About us Changing Lives is a nationwide charity helping people facing the most challenging of circumstances to make positive change - for good. We believe that everyone deserves a safe home, a rewardi...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735496?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735493,adzuna,Lecturer: Electrical Installation,NPTC Group of Colleges,"Margam, Port Talbot",GB,25372.0,46432.0,GBP,AI,1,permanent,"We have great ambitions to be a sector leading education provider and we would like you to play a part in this. If you are passionate about Education and want to make a difference to people’s lives, t...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735493?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735494,adzuna,Activity Coordinator (ELMs),Hollybank Trust - Mirfield,"Roberttown, Liversedge",GB,25604.0,,GBP,AI,1,,"Role: Activity Coordinator - ELMS Service Location: Mirfield (WF14 0DQ) Hours: Full-time. 37hours Hourly Rate: £12.31/hr At Hollybank we believe in quality of life, for life. This includes supporting ...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735494?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735490,adzuna,Security Response Officer - Average 20 hours per week - Days & Nights,CIS Security Ltd,UK,GB,26208.0,,GBP,AI,1,,"CIS Security have an exciting opportunity available who will be an ambassador to represent CIS Security, who will provide cover for a prestigious business park, set over 8 acres with two multi tenante...",2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735490?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735489,adzuna,Support Worker Days at Plas Cae Crwn,Shaw Healthcare,"Treowen, Newtown",GB,26208.0,,GBP,Go,1,,Support Worker - £12.60 per hour Shaw healthcare are delighted to announce that we are a Real Living Wage Employer as well as the UK’s largest employee owned healthcare company. In our recognition of ...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735489?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735487,adzuna,Bank Team Leader at Plas Cae Crwn,Shaw Healthcare,"Treowen, Newtown",GB,29681.0,,GBP,Go,1,,Bank Team Leader - £14.27 per hour Shaw healthcare are delighted to announce that we are a Real Living Wage Employer as well as the UK’s largest employee owned healthcare company. In our recognition o...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735487?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735486,adzuna,Corporate Security Officer - Average 56 hours per week- Days & Nights,CIS Security Ltd,"Fleet Street, Central London",GB,29016.0,,GBP,AI,1,,Do you have 5* customer service skills with the ability to provide a friendly and secure corporate security service? CIS Security have an exciting opportunity available for a Corporate Security Office...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735486?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
5275735484,adzuna,Food & Beverage Assistant,Country Court,"Castor, Peterborough",GB,25396.0,,GBP,,0,,Food & Beverage Assistant - Required at Castor Lodge located in the village of Castor near Peterborough - Part of The Country Court Family We are no longer accepting applications for sponsorship. Hour...,2025-06-30,https://www.adzuna.co.uk/jobs/details/5275735484?utm_medium=api&utm_source=44534cc0,2025-06-30T15:42:36.258010
