id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5275721092,adzuna,Software Developer,Dedalus Group,"Roma, Provincia di Roma",IT,,,EUR,AI,1,,Do you want a job with a purpose? And do you want to make healthcare safer' better and more reliable? Join our Team! Unisciti a noi come Software Developer presso Dedalus' una delle aziende leader mon...,2025-06-30,https://www.adzuna.it/details/5275721092?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.836788
5275716270,adzuna,"Inside Sales Account Manager, Food Colors (German speaker)",Sensient Technologies,"Cernusco sul Naviglio, Provincia di Milano",IT,50000.0,70000.0,EUR,AI,1,,"At Sensient Technologies, we are experts in the science, art and innovation of color and flavor. We are market savvy and visionary. We are problem solvers. And we will be better with you. Are you a sa...",2025-06-30,https://www.adzuna.it/land/ad/5275716270?se=_sCtOLhV8BG5z_prELlT0w&utm_medium=api&utm_source=44534cc0&v=C3F197EE115BD3567C42612C8D35FD959E6E302D,2025-06-30T15:43:37.837798
5275680312,adzuna,Angular Developer - Milano (ibrido),B&A Consulting,"Lanza, Milano",IT,,,EUR,Angular,1,,"B&A Consulting è una Software House, Media Agency Company nata per offrire alle aziende soluzioni e servizi innovativi in ambito ICT & Digital Strategy. workenvironment L'ambiente di lavoro è giovane ...",2025-06-30,https://www.adzuna.it/details/5275680312?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275680169,adzuna,Business Developer,Ebury,Italia,IT,,,EUR,,0,,"Ebury is a leading global fintech company that empowers businesses to trade and grow internationally. It offers a comprehensive suite of products, including international payments and collections, FX ...",2025-06-30,https://www.adzuna.it/details/5275680169?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275680141,adzuna,Business Developer,Ebury,Italia,IT,,,EUR,,0,,"Ebury is a leading global fintech company that empowers businesses to trade and grow internationally. It offers a comprehensive suite of products, including international payments and collections, FX ...",2025-06-30,https://www.adzuna.it/details/5275680141?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275680017,adzuna,Travel Intrapreneur (Trekking Tours),Ventura TRAVEL,Italia,IT,,,EUR,AI,1,,"Are you ready to take the next step in your career and start a company within a company ? We are looking for passionate people, who want to show the world, what they are capable of. If you have a pass...",2025-06-30,https://www.adzuna.it/details/5275680017?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275644987,adzuna,Digital Technology Transformation Adobe AEM Solution Architect,MSC Cruises,Italia,IT,,,EUR,AI,1,,"Where passion meets opportunity The best of your adventures is the one you have yet to sail! JOB PURPOSE MSC Cruises is the world's third-largest cruise brand as well as the leader in Europe, South Am...",2025-06-30,https://www.adzuna.it/details/5275644987?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275644970,adzuna,Test Automation AI Developer,MSC Cruises,Italia,IT,,,EUR,AI,1,,"Where passion meets opportunity The best of your adventures is the one you have yet to sail! JOB PURPOSE MSC Cruises is the world's third-largest cruise brand as well as the leader in Europe, South Am...",2025-06-30,https://www.adzuna.it/details/5275644970?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275644982,adzuna,Testing Automation Developer,MSC Cruises,Italia,IT,,,EUR,AI,1,,"Where passion meets opportunity The best of your adventures is the one you have yet to sail! JOB PURPOSE MSC Cruises is the world's third-largest cruise brand as well as the leader in Europe, South Am...",2025-06-30,https://www.adzuna.it/details/5275644982?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275611752,adzuna,Business Developer,Temporary S.p.A.,"Villa di Serio, Provincia di Bergamo",IT,,,EUR,,0,,"Temporary S.p.A. Temporary spa, Agenzia Leader per la ricerca di Lavoro del Gruppo Attal – Filiale di Bergamo, seleziona per dinamica azienda di digital marketing affermata a livello internazionale du...",2025-06-30,https://www.adzuna.it/details/5275611752?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
5275610500,adzuna,"Engineering Director, Community",Canonical - Jobs,"Roma, Provincia di Roma",IT,,,EUR,,0,,As the Engineering Director of Community you will have a broad impact and responsibility for growing community engagement and processes across all of engineering. If you want to define what building t...,2025-06-30,https://www.adzuna.it/land/ad/5275610500?se=_sCtOLhV8BG5z_prELlT0w&utm_medium=api&utm_source=44534cc0&v=A3BD6D79ACCD34BF2610CF72A8D7C447AB20ADD9,2025-06-30T15:43:37.837798
5275610320,adzuna,"Head of Digital Products, Southern Europe",Visa,"Milano, Provincia di Milano",IT,,,EUR,Go,1,,"Company Description Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities ac...",2025-06-30,https://www.adzuna.it/land/ad/5275610320?se=_sCtOLhV8BG5z_prELlT0w&utm_medium=api&utm_source=44534cc0&v=CFED5A280F0F56CA039E59697E3F6B4F96A85911,2025-06-30T15:43:37.837798
5275609487,adzuna,Business Development - Export Area Manager,365 GRADI SRL,"Legnago, Provincia di Verona",IT,,,EUR,,0,,"Per Gruppo internazionale mediamente strutturato in forte crescita, operante nel settore legno alluminio e serramenti, già presente in Europa con svariate sedi e rappresentanze e head quarter nella zo...",2025-06-30,https://www.adzuna.it/land/ad/5275609487?se=_sCtOLhV8BG5z_prELlT0w&utm_medium=api&utm_source=44534cc0&v=35ECD02F1D7FEECE2573F5E3690F18BE857D981A,2025-06-30T15:43:37.837798
5275609568,adzuna,Power Platform Developer,Soft Strategy Group SpA,"Provincia di Roma, Lazio",IT,,,EUR,"JavaScript, Java",2,,"Le tue sfide Cerchiamo una Risorsa motivata e competente, con comprovata esperienza nello sviluppo di soluzioni basate su Microsoft Power Platform, in particolare Model-Driven App, Dataverse, Power Au...",2025-06-30,https://www.adzuna.it/details/5275609568?utm_medium=api&utm_source=44534cc0,2025-06-30T15:43:37.837798
