id,source,title,company,location,country,salary_min,salary_max,currency,skills,skills_count,contract_type,description_excerpt,posted_date,url,collected_at
5275737624,adzuna,Ignite Your Career as a Full Stack Web Developer and Maintenance Pro at Maastricht-Airport!,AXXAZ Nederland,Nederland,NL,,,EUR,"Go, AI",2,,"Are you a coding maestro with a passion for both backend (server) and front-end (client) development? Join our dynamic team at Maastricht-Airport, where we specialize in meeting the unique demands for...",2025-06-30,https://www.adzuna.nl/details/5275737624?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275732888,adzuna,Technisch Ontwikkelaar Werktuigbouwkunde,Synsel Techniek,"Schiphol, Haarlemmermeer",NL,,,EUR,,0,,"Hier ga je werken Locatie: regio Schiphol Deze organisatie is een toonaangevende speler in de technische sector, bekend om hun innovatieve aanpak, kwaliteit en samenwerking. Ze hebben een sterke aanwe...",2025-06-30,https://www.adzuna.nl/details/5275732888?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275732623,adzuna,Mendix Developer,Good Company,"Amsterdam, Noord-Holland",NL,,,EUR,,0,,"Over de functie Als Mendix Developer krijg je de kans om mee te denken met deze business en oplossingen aan te dragen. De software die dit bedrijf gebruikt, ontwikkelen ze intern en is gebaseerd op Me...",2025-06-30,https://www.adzuna.nl/details/5275732623?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275717835,adzuna,Technisch Ontwikkelaar Elektrotechniek,BAM Bouw en Techniek - Gebouwservices Schiphol,"Schiphol, Haarlemmermeer",NL,,,EUR,Go,1,,Ben jij een ambitieuze Technisch Ontwikkelaar met goede kennis van elektrotechnische projecten? En vind je het een uitdaging om in een dynamische en veeleisende omgeving te werken? Dan is deze rol wat...,2025-06-30,https://www.adzuna.nl/details/5275717835?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275717191,adzuna,Kraanmachinist,Dujob,"Nijehaske, Skarsterlân",NL,,,EUR,Go,1,contract,Je bent een ervaren kraanmachinist met een passie voor kranen en beton! Kun jij grote betonelementen veilig plaatsen en verplaatsen? Lees dan verder. Organisatie Onze klant is een bouwbedrijf en vastg...,2025-06-30,https://www.adzuna.nl/details/5275717191?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275717186,adzuna,Materiaalplanner,Dujob,"Nijehaske, Skarsterlân",NL,,,EUR,Go,1,contract,"Heb je een open geest, ben je analytisch ingesteld en kun je de voortgang van een project monitoren? Solliciteer dan op de functie van Materiaal Planner en leer ons energieke team kennen onder het gen...",2025-06-30,https://www.adzuna.nl/details/5275717186?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275716776,adzuna,Technisch bouwkundig ontwikkelaar wanden en daken,Multiselect,"Enschede, Overijssel",NL,,,EUR,,0,,"Functie omschrijving Waar ben je verantwoordelijk voor? De ontwikkeling en technische uitwerking van diverse projecten als prefab wanden, daken, dakkappelen en erkers voor huizen Het maken van keuzes ...",2025-06-30,https://www.adzuna.nl/details/5275716776?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275716359,adzuna,Technisch Ontwikkelaar Werktuigbouwkunde,BAM Bouw en Techniek - Gebouwservices Schiphol,"Schiphol, Haarlemmermeer",NL,,,EUR,,0,,Werken aan de meest innovatieve luchthaven van de wereld? Kom werken als technisch ontwikkelaar werktuigbouwkunde bij BAM. In deze rol draag jij bij aan een optimale Schipholervaring voor de reizigers...,2025-06-30,https://www.adzuna.nl/details/5275716359?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275705198,adzuna,Technisch Ontwikkelaar Elektrotechniek,BAM Bouw en Techniek - Projecten,"Bunnik, Provincie Utrecht",NL,,,EUR,,0,,"Zorg jij dat ziekenhuizen en andere gebouwen straks slimmer, duurzamer en toekomstbestendig zijn? Bij BAM Bouw en Techniek ben jij als elektrotechnisch ontwikkelaar de verbindende schakel tussen ontwe...",2025-06-30,https://www.adzuna.nl/details/5275705198?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275702329,adzuna,Technisch Ontwikkelaar,BAM Modulaire- en Energieconcepten,"Houten, Provincie Utrecht",NL,,,EUR,AI,1,,"BAM Modulaire- en Energieconcepten is dé plek voor visionairs die willen bijdragen aan de toekomst van de bouw op het gebied van de installatietechniek. Hier werk je aan baanbrekende, duurzame product...",2025-06-30,https://www.adzuna.nl/details/5275702329?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275696678,adzuna,Frontend Developer (Angular 6),Next-Link,Nederland,NL,,,EUR,"JavaScript, Java, Go, Angular, AI",5,contract,"Job Title: Frontend Developer – Angular 6 Location: Eindhoven, Netherlands Key Skills: Angular 6 (including Angular Material. HTML5, CSS3, Bootstrap Java, JavaScript, TypeScript RXJS, NGRX Store Git /...",2025-06-30,https://www.adzuna.nl/details/5275696678?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275696691,adzuna,"Solution and Functional Architect (SAFA), Data Architecture and Modeling",Next-Link,Nederland,NL,,,EUR,AI,1,contract,Job Description: Translation of the business need into sustainable and scalable IT and data solutions. Bridge between business and technology. Ensure that the chosen solutions fit within the Enterpris...,2025-06-30,https://www.adzuna.nl/details/5275696691?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275687671,adzuna,Oracle developer,Jelling,"Binnenstad, Gouda",NL,,,EUR,Go,1,,"Max € 4.800,- | Ervaren Oracle developer gezocht voor mooie IT-dienstverlener in regio Gouda. Functieomschrijving Ben je op zoek naar een nieuwe uitdaging? Dan nodigen we je uit om verder te lezen! We...",2025-06-30,https://www.adzuna.nl/details/5275687671?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275548261,adzuna,IAM & Security Engineer 3,MongoDB,Nederland,NL,,,EUR,"Go, MongoDB, AWS, AI",4,,"MongoDB’s mission is to empower innovators to create, transform, and disrupt industries by unleashing the power of software and data. We enable organizations of all sizes to easily build, scale, and r...",2025-06-30,https://www.adzuna.nl/details/5275548261?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275548176,adzuna,Project Manager Energie,Evalan,"Binnenstad, Amsterdam",NL,,,EUR,,0,,"Projectmanager energie installaties MKB Amsterdam, Noord-Holland (hybride) 32-40 uur per week Over ons EVALAN is een innovatief technologiebedrijf gevestigd in Amsterdam, gespecialiseerd in end-to-end...",2025-06-30,https://www.adzuna.nl/details/5275548176?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275547617,adzuna,"Testautomatiseerder - Overheid, Zorg en Welzijn",CGI,Nederland,NL,,,EUR,"Go, AI, Agile",3,,CGI Netherlands - Welkom bij CGI – Leer ons kennen in 90 seconden By playing this video you consent to Google/YouTube processing your data and using cookies – Learn more . Position Description: CGI zo...,2025-06-30,https://www.adzuna.nl/details/5275547617?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275547603,adzuna,"C++ Developer (Riga, Latvia or Remote)",Zimperium,Nederland,NL,,,EUR,"C++, Machine Learning, AI",3,,"Zimperium® is an industry leader in enterprise mobile security, being the first and only company to provide a complete mobile threat defense system that offers real-time, on device world-class protect...",2025-06-30,https://www.adzuna.nl/details/5275547603?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275399422,adzuna,Functioneel Beheerder - Power Monitoring,Schiphol Group,"Oude Meer, Haarlemmermeer",NL,54252.0,71772.0,EUR,,0,,Nice to know (you) Nice to know (you) Het Team Functioneel Beheer PMCS bestaat uit totaal 11 collega’s die conform het Kanban principe werken aan het verbeteren van de kwaliteit van onze applicaties. ...,2025-06-30,https://www.adzuna.nl/details/5275399422?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
5275368362,adzuna,Functioneel beheerder - seniorfunctie,Jelling,"Prinsenbeek, Breda",NL,,,EUR,,0,,€ 4.500 | 32 - 40 uur | Wij zijn op zoek naar een enthousiaste Business Consultant met affiniteit met ERP. Functieomschrijving Als ERP Consultant draag je de verantwoordelijkheid voor het leveren van ...,2025-06-30,https://www.adzuna.nl/details/5275368362?utm_medium=api&utm_source=44534cc0,2025-06-30T15:41:21.253358
