id,source,name,full_name,description,language,stars_count,forks_count,watchers_count,issues_count,created_at,updated_at,owner_login,owner_type,owner_location,owner_country,topics,license,url,clone_url,collected_at
1000524955,github,OpenList,OpenListTeam/OpenList,A new AList Fork to Anti Trust Crisis,Go,10183,627,10183,64,2025-06-11,2025-06-30,OpenListTeam,Organization,,,"alist, aliyunpan, baidupan, openlist",AGPL-3.0,https://github.com/OpenListTeam/OpenList,https://github.com/OpenListTeam/OpenList.git,2025-06-30T15:45:35.469036
1003143578,github,agents-towards-production,NirDiamant/agents-towards-production," This repository delivers end-to-end, code-first tutorials covering every layer of production-grade GenAI agents, guiding you from spark to scale with proven patterns and reusable blueprints for real-world launches.",Jupyter Notebook,7269,855,7269,0,2025-06-16,2025-06-30,NirDiamant,User,,,"agent, agent-framework, agents, ai-agents, genai, generative-ai, llm, llms, mlops, multi-agent, production, tool-integration, tutorials",NOASSERTION,https://github.com/NirDiamant/agents-towards-production,https://github.com/NirDiamant/agents-towards-production.git,2025-06-30T15:45:35.826662
1006414368,github,OpenCut,OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,6146,439,6146,28,2025-06-22,2025-06-30,OpenCut-app,Organization,,,"editor, oss, videoeditor",MIT,https://github.com/OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut.git,2025-06-30T15:45:36.228878
1001787804,github,openai-cs-agents-demo,openai/openai-cs-agents-demo,Demo of a customer service use case implemented with the OpenAI Agents SDK,TypeScript,5287,766,5287,27,2025-06-14,2025-06-30,openai,Organization,,,,MIT,https://github.com/openai/openai-cs-agents-demo,https://github.com/openai/openai-cs-agents-demo.git,2025-06-30T15:45:36.625180
999030842,github,nano-vllm,GeeeekExplorer/nano-vllm,Nano vLLM,Python,4629,529,4629,11,2025-06-09,2025-06-30,GeeeekExplorer,User,,,,MIT,https://github.com/GeeeekExplorer/nano-vllm,https://github.com/GeeeekExplorer/nano-vllm.git,2025-06-30T15:45:36.990271
1006496207,github,SuperClaude,NomenAK/SuperClaude,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",Shell,4258,301,4258,16,2025-06-22,2025-06-30,NomenAK,User,,,,MIT,https://github.com/NomenAK/SuperClaude,https://github.com/NomenAK/SuperClaude.git,2025-06-30T15:45:37.361258
1000235209,github,workout-cool,Snouzy/workout-cool,"🏋 Modern open-source fitness coaching platform. Create workout plans, track progress, and access a comprehensive exercise database.",TypeScript,3703,206,3703,31,2025-06-11,2025-06-30,Snouzy,User,"All around the world, France based",FR,"coach, exercise, feature-sliced-design, fitness, gym, health, nextjs, open-source, postgresql, prisma, radix-ui, react, shadcn-ui, tailwindcss, training, typescript, webapp, workout",MIT,https://github.com/Snouzy/workout-cool,https://github.com/Snouzy/workout-cool.git,2025-06-30T15:45:37.733524
1000000000,github,shit,Red-Killer/shit,,,3673,257,3673,587,2025-06-11,2025-06-30,Red-Killer,User,,,,,https://github.com/Red-Killer/shit,https://github.com/Red-Killer/shit.git,2025-06-30T15:45:38.096541
1004995740,github,claudia,getAsterisk/claudia,"A powerful GUI app and Toolkit for Claude Code - Create custom agents, manage interactive Claude Code sessions, run secure background agents, and more.",TypeScript,3514,289,3514,57,2025-06-19,2025-06-30,getAsterisk,Organization,United States of America,,"anthropic, anthropic-claude, claude, claude-4, claude-4-opus, claude-4-sonnet, claude-ai, claude-code, claude-code-sdk, cursor, ide, llm, llm-code, rust, tauri",AGPL-3.0,https://github.com/getAsterisk/claudia,https://github.com/getAsterisk/claudia.git,2025-06-30T15:45:38.451535
998428732,github,zen-mcp-server,BeehiveInnovations/zen-mcp-server,The power of Claude Code + [Gemini / OpenAI / Grok / OpenRouter / Ollama / Custom Model / All Of The Above] working as one.,Python,3501,326,3501,25,2025-06-08,2025-06-30,BeehiveInnovations,Organization,,,,NOASSERTION,https://github.com/BeehiveInnovations/zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server.git,2025-06-30T15:45:38.912532
995214393,github,MonkeyOCR,Yuliang-Liu/MonkeyOCR,A lightweight LMM-based Document Parsing Model,Python,3275,217,3275,30,2025-06-03,2025-06-30,Yuliang-Liu,User,,,,Apache-2.0,https://github.com/Yuliang-Liu/MonkeyOCR,https://github.com/Yuliang-Liu/MonkeyOCR.git,2025-06-30T15:45:39.264553
995113401,github,unregistry,psviderski/unregistry,Push docker images directly to remote servers without an external registry,Go,2988,37,2988,12,2025-06-03,2025-06-30,psviderski,User,Australia,,"containerd, docker, golang, kubernetes, oci, registry",Apache-2.0,https://github.com/psviderski/unregistry,https://github.com/psviderski/unregistry.git,2025-06-30T15:45:39.645112
999859834,github,liquid-glass-react,rdev/liquid-glass-react,Apple's Liquid Glass effect for React,TypeScript,2720,178,2720,8,2025-06-10,2025-06-30,rdev,User,undefined,,,MIT,https://github.com/rdev/liquid-glass-react,https://github.com/rdev/liquid-glass-react.git,2025-06-30T15:45:40.057523
997256882,github,OmniGen2,VectorSpaceLab/OmniGen2,OmniGen2: Exploration to Advanced Multimodal Generation.,Jupyter Notebook,2553,188,2553,50,2025-06-06,2025-06-30,VectorSpaceLab,Organization,,,,Apache-2.0,https://github.com/VectorSpaceLab/OmniGen2,https://github.com/VectorSpaceLab/OmniGen2.git,2025-06-30T15:45:40.466784
1001889935,github,MiniMax-M1,MiniMax-AI/MiniMax-M1,"MiniMax-M1, the world's first open-weight, large-scale hybrid-attention reasoning model.",Python,2475,185,2475,14,2025-06-14,2025-06-30,MiniMax-AI,Organization,,,"large-language-models, llm, minimax-m1, reasoning-models",Apache-2.0,https://github.com/MiniMax-AI/MiniMax-M1,https://github.com/MiniMax-AI/MiniMax-M1.git,2025-06-30T15:45:40.860216
1004631442,github,Claude-Code-Usage-Monitor,Maciek-roboblog/Claude-Code-Usage-Monitor,Real-time Claude Code usage monitor with predictions and warnings,Python,2195,92,2195,21,2025-06-19,2025-06-30,Maciek-roboblog,User,,,"ai, analytics, claude, claude-code, claude-usage, limits, monitoring, terminal, usage-tracking",MIT,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor.git,2025-06-30T15:45:41.218854
998699154,github,Self-Forcing,guandeh17/Self-Forcing,,Python,2162,138,2162,14,2025-06-09,2025-06-30,guandeh17,User,"Austin, TX",,,NOASSERTION,https://github.com/guandeh17/Self-Forcing,https://github.com/guandeh17/Self-Forcing.git,2025-06-30T15:45:41.592371
1000814478,github,agent-rules,steipete/agent-rules,Rules and Knowledge to work better with agents such as Claude Code or Cursor,Shell,1889,114,1889,4,2025-06-12,2025-06-30,steipete,User,Vienna & London,GB,"agent, claudecode, cursor, llms, rules",MIT,https://github.com/steipete/agent-rules,https://github.com/steipete/agent-rules.git,2025-06-30T15:45:41.951635
998715039,github,PartCrafter,wgsxm/PartCrafter,PartCrafter: Structured 3D Mesh Generation via Compositional Latent Diffusion Transformers,,1631,85,1631,2,2025-06-09,2025-06-30,wgsxm,User,Beijing,,"3d, 3d-generation, 3d-object-generation, 3d-object-reconstruction, 3d-reconstruction, 3d-scene-generation, 3d-scene-reconstruction, image-to-3d",MIT,https://github.com/wgsxm/PartCrafter,https://github.com/wgsxm/PartCrafter.git,2025-06-30T15:45:42.318328
1001565199,github,Hunyuan3D-2.1,Tencent-Hunyuan/Hunyuan3D-2.1,From Images to High-Fidelity 3D Assets with Production-Ready PBR Material,Python,1437,121,1437,44,2025-06-13,2025-06-30,Tencent-Hunyuan,Organization,,,"3d, 3d-aigc, 3d-generation, hunyuan3d, image-to-3d, shape, shape-generation, text-to-3d, texture-genertaion",NOASSERTION,https://github.com/Tencent-Hunyuan/Hunyuan3D-2.1,https://github.com/Tencent-Hunyuan/Hunyuan3D-2.1.git,2025-06-30T15:45:42.706656
998796026,github,mcp-chrome,hangwin/mcp-chrome,"Chrome MCP Server is a Chrome extension-based Model Context Protocol (MCP) server that exposes your Chrome browser functionality to AI assistants like Claude, enabling complex browser automation, content analysis, and semantic search.",TypeScript,1363,94,1363,27,2025-06-09,2025-06-30,hangwin,User,,,,MIT,https://github.com/hangwin/mcp-chrome,https://github.com/hangwin/mcp-chrome.git,2025-06-30T15:45:43.086449
1002344408,github,illa-helper,xiao-zaiyi/illa-helper,浸入式学语言助手 (Immersive Language Learning Assistant),TypeScript,1329,62,1329,21,2025-06-15,2025-06-30,xiao-zaiyi,User,Silicon Valley,,,MIT,https://github.com/xiao-zaiyi/illa-helper,https://github.com/xiao-zaiyi/illa-helper.git,2025-06-30T15:45:43.421146
997490512,github,gpt-load,tbphp/gpt-load,"一个高性能的OpenAI格式API多密钥轮询代理服务器，支持负载均衡，使用 Go 语言开发。A high-performance OpenAI-compatible API proxy server with multi-key rotation and load balancing, built with Go.",Go,1171,34,1171,1,2025-06-06,2025-06-30,tbphp,User,China,,"gemini, gin, go, golang, openai",MIT,https://github.com/tbphp/gpt-load,https://github.com/tbphp/gpt-load.git,2025-06-30T15:45:43.781614
