keyword,country,timeframe,avg_interest,max_interest,min_interest,trend_direction,trend_strength,data_points,analysis_date,category
Python programming,FR,today 12-m,43.83,100,0,decreasing,12.77,53,2025-06-30,Programming Language
JavaScript programming,FR,today 12-m,1.4,62,0,increasing,0.92,53,2025-06-30,Programming Language
Java programming,FR,today 12-m,5.28,84,0,decreasing,4.08,53,2025-06-30,Programming Language
TypeScript programming,FR,today 12-m,0.08,4,0,increasing,0.31,53,2025-06-30,Programming Language
C# programming,FR,today 12-m,1.19,51,0,increasing,0.92,53,2025-06-30,Programming Language
React framework,FR,today 12-m,26.51,100,0,decreasing,7.31,53,2025-06-30,Framework
Angular framework,FR,today 12-m,4.57,71,0,stable,0.15,53,2025-06-30,Framework
Vue.js framework,FR,today 12-m,1.55,82,0,decreasing,6.31,53,2025-06-30,Framework
Node.js programming,FR,today 12-m,0.0,0,0,stable,0.0,53,2025-06-30,Framework
Django framework,FR,today 12-m,17.98,71,0,decreasing,9.69,53,2025-06-30,Framework
Docker container,FR,today 12-m,29.68,37,17,decreasing,6.0,53,2025-06-30,DevOps/Cloud
Kubernetes,FR,today 12-m,83.58,100,51,stable,1.0,53,2025-06-30,DevOps/Cloud
AWS cloud,FR,today 12-m,10.74,15,6,stable,0.31,53,2025-06-30,DevOps/Cloud
Azure cloud,FR,today 12-m,7.06,11,0,decreasing,1.15,53,2025-06-30,DevOps/Cloud
DevOps,FR,today 12-m,55.75,71,29,stable,2.54,53,2025-06-30,DevOps/Cloud
Machine Learning,FR,today 12-m,73.7,100,46,stable,5.62,53,2025-06-30,AI/Data Science
Data Science,FR,today 12-m,41.4,60,25,increasing,3.85,53,2025-06-30,AI/Data Science
Artificial Intelligence,FR,today 12-m,39.42,64,19,increasing,9.23,53,2025-06-30,Technology
TensorFlow,FR,today 12-m,22.21,31,10,decreasing,5.62,53,2025-06-30,AI/Data Science
PyTorch,FR,today 12-m,42.32,58,24,stable,1.46,53,2025-06-30,Technology
PostgreSQL,FR,today 12-m,71.23,87,38,stable,2.69,53,2025-06-30,Database
MongoDB,FR,today 12-m,35.08,46,16,decreasing,7.46,53,2025-06-30,Database
MySQL,FR,today 12-m,73.74,100,46,decreasing,12.92,53,2025-06-30,Database
Redis database,FR,today 12-m,0.15,2,0,increasing,0.15,53,2025-06-30,Database
Elasticsearch,FR,today 12-m,18.98,25,9,decreasing,4.62,53,2025-06-30,Technology
