keyword,country,timeframe,avg_interest,max_interest,min_interest,trend_direction,trend_strength,data_points,analysis_date,category
Python programming,GB,today 12-m,68.17,100,43,stable,1.77,53,2025-06-30,Programming Language
JavaScript programming,GB,today 12-m,2.91,15,0,decreasing,1.54,53,2025-06-30,Programming Language
Java programming,GB,today 12-m,18.23,34,0,decreasing,2.85,53,2025-06-30,Programming Language
TypeScript programming,GB,today 12-m,0.08,2,0,increasing,0.31,53,2025-06-30,Programming Language
C# programming,GB,today 12-m,5.96,17,0,decreasing,2.0,53,2025-06-30,Programming Language
React framework,GB,today 12-m,41.15,100,0,increasing,15.69,53,2025-06-30,Framework
Angular framework,GB,today 12-m,2.66,55,0,increasing,6.69,53,2025-06-30,Framework
Vue.js framework,GB,today 12-m,0.0,0,0,stable,0.0,53,2025-06-30,Framework
Node.js programming,GB,today 12-m,0.0,0,0,stable,0.0,53,2025-06-30,Framework
Django framework,GB,today 12-m,21.45,86,0,decreasing,19.46,53,2025-06-30,Framework
Docker container,GB,today 12-m,32.92,43,19,decreasing,4.46,53,2025-06-30,DevOps/Cloud
Kubernetes,GB,today 12-m,69.45,84,33,stable,5.85,53,2025-06-30,DevOps/Cloud
AWS cloud,GB,today 12-m,24.13,30,12,stable,1.69,53,2025-06-30,DevOps/Cloud
Azure cloud,GB,today 12-m,15.36,22,6,stable,1.54,53,2025-06-30,DevOps/Cloud
DevOps,GB,today 12-m,87.15,100,44,stable,7.77,53,2025-06-30,DevOps/Cloud
Machine Learning,GB,today 12-m,80.23,100,51,stable,3.08,53,2025-06-30,AI/Data Science
Data Science,GB,today 12-m,73.55,95,44,stable,0.46,53,2025-06-30,AI/Data Science
Artificial Intelligence,GB,today 12-m,57.08,75,42,increasing,9.0,53,2025-06-30,Technology
TensorFlow,GB,today 12-m,12.34,19,7,decreasing,3.62,53,2025-06-30,AI/Data Science
PyTorch,GB,today 12-m,28.38,38,15,decreasing,5.69,53,2025-06-30,Technology
PostgreSQL,GB,today 12-m,37.45,45,20,stable,3.15,53,2025-06-30,Database
MongoDB,GB,today 12-m,36.47,46,20,decreasing,8.46,53,2025-06-30,Database
MySQL,GB,today 12-m,79.51,100,43,decreasing,18.62,53,2025-06-30,Database
Redis database,GB,today 12-m,0.09,3,0,decreasing,0.08,53,2025-06-30,Database
Elasticsearch,GB,today 12-m,14.96,20,7,decreasing,4.08,53,2025-06-30,Technology
