keyword,country,timeframe,avg_interest,max_interest,min_interest,trend_direction,trend_strength,data_points,analysis_date,category
Python programming,IT,today 12-m,39.13,100,0,decreasing,4.08,53,2025-06-30,Programming Language
JavaScript programming,IT,today 12-m,1.89,86,0,increasing,1.08,53,2025-06-30,Programming Language
Java programming,IT,today 12-m,1.7,52,0,decreasing,1.08,53,2025-06-30,Programming Language
TypeScript programming,IT,today 12-m,0.92,45,0,decreasing,3.15,53,2025-06-30,Programming Language
C# programming,IT,today 12-m,0.25,7,0,increasing,1.0,53,2025-06-30,Programming Language
React framework,IT,today 12-m,2.6,86,0,increasing,4.0,53,2025-06-30,Framework
Angular framework,IT,today 12-m,0.47,13,0,increasing,1.92,53,2025-06-30,Framework
Vue.js framework,IT,today 12-m,0.0,0,0,stable,0.0,53,2025-06-30,Framework
Node.js programming,IT,today 12-m,0.0,0,0,stable,0.0,53,2025-06-30,Framework
Django framework,IT,today 12-m,8.08,100,0,increasing,2.92,53,2025-06-30,Framework
Docker container,IT,today 12-m,41.79,60,22,decreasing,4.54,53,2025-06-30,DevOps/Cloud
Kubernetes,IT,today 12-m,77.19,100,39,stable,1.54,53,2025-06-30,DevOps/Cloud
AWS cloud,IT,today 12-m,15.43,22,8,decreasing,1.54,53,2025-06-30,DevOps/Cloud
Azure cloud,IT,today 12-m,9.4,17,0,stable,0.08,53,2025-06-30,DevOps/Cloud
DevOps,IT,today 12-m,53.25,70,20,stable,1.62,53,2025-06-30,DevOps/Cloud
Machine Learning,IT,today 12-m,79.96,100,42,increasing,11.31,53,2025-06-30,AI/Data Science
Data Science,IT,today 12-m,45.96,63,29,stable,0.31,53,2025-06-30,AI/Data Science
Artificial Intelligence,IT,today 12-m,71.42,92,40,increasing,15.08,53,2025-06-30,Technology
TensorFlow,IT,today 12-m,14.91,21,9,decreasing,3.15,53,2025-06-30,AI/Data Science
PyTorch,IT,today 12-m,27.55,40,17,decreasing,4.69,53,2025-06-30,Technology
PostgreSQL,IT,today 12-m,29.87,40,16,stable,0.15,53,2025-06-30,Database
MongoDB,IT,today 12-m,28.4,37,13,stable,0.31,53,2025-06-30,Database
MySQL,IT,today 12-m,78.75,100,44,decreasing,8.46,53,2025-06-30,Database
Redis database,IT,today 12-m,0.08,3,0,increasing,0.08,53,2025-06-30,Database
Elasticsearch,IT,today 12-m,8.42,13,3,decreasing,1.31,53,2025-06-30,Technology
