keyword,country,timeframe,avg_interest,max_interest,min_interest,trend_direction,trend_strength,data_points,analysis_date,category
Python programming,NL,today 12-m,47.7,100,0,decreasing,19.0,53,2025-06-30,Programming Language
JavaScript programming,NL,today 12-m,0.23,8,0,increasing,0.92,53,2025-06-30,Programming Language
Java programming,NL,today 12-m,4.94,70,0,decreasing,8.31,53,2025-06-30,Programming Language
TypeScript programming,NL,today 12-m,0.0,0,0,stable,0.0,53,2025-06-30,Programming Language
C# programming,NL,today 12-m,2.7,81,0,decreasing,5.0,53,2025-06-30,Programming Language
React framework,NL,today 12-m,1.55,53,0,increasing,2.23,53,2025-06-30,Framework
Angular framework,NL,today 12-m,0.15,4,0,increasing,0.62,53,2025-06-30,Framework
Vue.js framework,NL,today 12-m,1.08,57,0,increasing,4.38,53,2025-06-30,Framework
Node.js programming,NL,today 12-m,2.92,100,0,increasing,4.23,53,2025-06-30,Framework
Django framework,NL,today 12-m,0.36,10,0,increasing,1.46,53,2025-06-30,Framework
Docker container,NL,today 12-m,31.49,40,20,decreasing,3.77,53,2025-06-30,DevOps/Cloud
Kubernetes,NL,today 12-m,64.11,78,31,decreasing,7.46,53,2025-06-30,DevOps/Cloud
AWS cloud,NL,today 12-m,6.42,12,0,decreasing,0.69,53,2025-06-30,DevOps/Cloud
Azure cloud,NL,today 12-m,9.45,15,0,stable,0.15,53,2025-06-30,DevOps/Cloud
DevOps,NL,today 12-m,80.09,100,29,decreasing,9.46,53,2025-06-30,DevOps/Cloud
Machine Learning,NL,today 12-m,74.0,100,34,stable,3.54,53,2025-06-30,AI/Data Science
Data Science,NL,today 12-m,63.13,81,28,stable,1.54,53,2025-06-30,AI/Data Science
Artificial Intelligence,NL,today 12-m,55.25,71,30,stable,0.15,53,2025-06-30,Technology
TensorFlow,NL,today 12-m,15.4,25,0,stable,0.23,53,2025-06-30,AI/Data Science
PyTorch,NL,today 12-m,35.38,52,15,stable,1.54,53,2025-06-30,Technology
PostgreSQL,NL,today 12-m,44.06,60,21,stable,4.31,53,2025-06-30,Database
MongoDB,NL,today 12-m,25.25,41,11,decreasing,2.62,53,2025-06-30,Database
MySQL,NL,today 12-m,82.43,100,49,decreasing,17.85,53,2025-06-30,Database
Redis database,NL,today 12-m,0.04,1,0,increasing,0.15,53,2025-06-30,Database
Elasticsearch,NL,today 12-m,16.15,22,7,decreasing,2.77,53,2025-06-30,Technology
